nombre,start,end,region,detalle
Antonio Monge "El Planeta",01-01-1789,01-01-1856,Cádiz,
El Fillo,1806-01-01,1854-02-04,Cádiz,
Curro Durce,1816-01-01,1898-12-09,Cádiz
Manuel Ortega Vargas "Manuel Molina",1822-03-09,1879-09-23,Jerez-Lebrija,
Silverio Franconetti,1831-06-10,1889-05-30,Sevilla,
María Amaya "La Andonda",1831-01-01,1891-01-01,Sevilla,
Paquirri el Guanté,1834-01-01,1862-01-01,Cádiz,
Mercedes Fernández "La Serneta",1837-01-01,1912-01-01,Jerez-Lebrija,
Tomás "El Nitri",1838-12-17,1877-11-02,Cádiz,
Paco la Luz,1839-12-13,1901-11-03,Jerez-Lebrija,
Juan Breva,1844-01-01,1918-06-08,Málaga,
Antonio "Frijones",1846-01-01,1917-08-08,Jerez-Lebrija,
Antonio Grau "Rojo el alpargatero",1847-12-07,1907-04-21,La Unión y alrededores,
Enrique "El Mellizo",1848-12-01,1906-05-30,Cádiz,
Concha la Peñaranda "La Cartagenera",1850-01-01,1889-01-01,La Unión y alrededores,
El Canario,1857-06-30,1885-08-13,Málaga,
Juaniquín,1864-01-01,1946-01-01,Jerez-Lebrija,
Paca Aguilera,1867-01-15,1913-01-18,Málaga,
La Trini,1868-01-01,1930-01-01,Málaga,
Antonio Chacón,1869-05-16,1929-12-01,Jerez-Lebrija,
Cayetano Muriel "Niño Cabra",1870-01-01,1947-01-01,Córdoba,
Antonio Pozo "El Mochuelo",1871-07-24,1937-01-01,Sevilla,
Joaquín el de la Paula,1875-02-12,1933-06-10,Sevilla,
Cojo de Málaga,1880-01-01,1940-01-01,Málaga,
Manuel Torre,1880-12-04,1933-07-21,Jerez-Lebrija,
Antonio Grau Dauset,1884-01-01,1968-01-01,La Unión y alrededores,
Frasquito Yerbabuena,1884-01-01,1944-01-01,Granada,
Pepe el de la Matrona,1887-07-04,1980-08-08,Sevilla,
Aurelio Sellés,1887-11-04,1974-09-19,Cádiz,
Pastora Pavón,1890-02-10,1969-11-16,Sevilla,
Manuel Vallejo,1891-10-15,1960-08-07,Sevilla,
Juan Talega,1891-12-12,1971-07-31,Sevilla,
Juan Valencia Carpio "Mojama",1892-01-01,1957-01-01,Jerez-Lebrija,
Onofre,1893-01-01,1972-01-01,Córdoba,
Niño Gloria,1893-01-01,1954-01-01,Jerez-Lebrija,
Tomás Pavón,1893-02-16,1952-07-02,Sevilla,
Anica la Piriñaca,1899-04-11,1987-11-04,Jerez-Lebrija,
Pericón de Cádiz,1901-09-20,1980-11-22,Cádiz,
El Chozas,1903-01-01,1974-01-01,Jerez-Lebrija,
Pepe Pinto,1903-07-22,1969-11-06,Sevilla,
Pepe Marchena,1903-11-07,1976-12-04,Sevilla,
Manolito el de María,1904-07-14,1965-01-01,Sevilla,
Manuel Vega "El Carbonerillo",1906-02-08,1937-04-06,Sevilla,
Niña de la Puebla,1980-06-20,1999-06-14,Sevilla,
Antonio Mairena,1909-07-07,1973-02-24,Sevilla,
Manolo Caracol,1909-09-07,1983-09-05,Sevilla,
Gregorio "Tío Borrico",1910-01-01,1983-12-05,Jerez-Lebrija,
Rafael Romero,1910-10-09,1991-01-04,Jaén,
Antonio Piñana,1913-01-16,1989-11-16,La Unión y alrededores,
Juanito Valderrama,1916-05-24,2004-04-12,Jaén,
Fernanda de Utrera,1923-02-09,2006-08-24,Sevilla,
Porrina de Badajoz,1924-01-13,1977-02-18,Extremadura,
La Perla de Cádiz,1924-06-09,1975-09-14,Cádiz,
Pencho Cros,1927-01-01,2007-10-26,La Unión y alrededores,
Bernarda de Utrera,1927-03-03,2009-10-28,Sevilla,
Chano Lobato,1927-12-07,2009-04-05,Cádiz,
Paco Toronjo,1928-06-13,1998-07-02,Huelva,
Antonio Núñez "Chocolate",1930-05-04,2005-07-20,Jerez-Lebrija
Naranjito de Triana,1933-01-01,2002-01-01,Sevilla,
Manuel "Agujetas",1933-06-16,2015-12-25,Jerez-Lebrija
Terremoto de Jerez-Lebrija,1934-03-17,1981-09-06,Jerez-Lebrija,
La Paquera,1934-05-20,2004-04-26,Jerez-Lebrija,
La Repompa,1937-08-15,1959-05-06,Málaga,
Juan Peña "Lebrijano",1941-08-08,2016-07-13,Jerez-Lebrija
José Menese,1942-12-03,2016-07-29,Sevilla,
Enrique Morente,1942-12-25,2010-12-13,Granada,
Camarón de la Isla,1950-12-05,1992-07-02,Cádiz,
Juan Moneo "El Torta",1953-09-04,2013-12-31,Jerez-Lebrija,
